id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value
2102361438,160,7,1,0,27,bsbugp9qfasrrtg55bf7evvwv,1,38,3,2018-01-30T17:13:44.737Z,2018-01-30T17:13:46Z,1238552929,56,Back,1366207747,233,138,1075991964,285,,1353833860,167,,,,,,,,,,,,,,7grp6mb5milt6wp91mdoti7rp,L. Bruton,,,,,,,,,,,,,,,,,,,,,,
1909493829,139,5,1,0,27,5rurqie3qt1qav9ir5mkqinn,1,60.6,101.6,2018-01-30T17:13:45.329Z,2018-01-30T17:21:50Z,1578850429,56,Left,1150691267,233,161,,,,,,,,,,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,
2037039019,161,5,1,0,27,bsbugp9qfasrrtg55bf7evvwv,0,39.4,-1.6,2018-01-30T17:13:45.329Z,2018-01-30T17:13:56Z,1715813386,233,139,1245276503,56,Back,,,,,,,,,,,,,,,,,,,7grp6mb5milt6wp91mdoti7rp,L. Bruton,,,,,,,,,,,,,,,,,,,,,,
1486503203,4,43,1,0,38,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-01-28T14:03:11.836Z,2018-01-30T16:56:44Z,100720802,212,0,731287067,141,0.0,1960530761,213,1.6,151992967,107,0,2121910925,140,41.2,2034275350,56,Left,1492140875,144,1,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1749212930,140,1,1,0,38,5rurqie3qt1qav9ir5mkqinn,1,62.6,100,2018-01-30T17:13:55.771Z,2018-01-30T17:13:57Z,1519276241,212,12.1,1758203037,141,96.0,1168115055,140,73.5,1612420020,213,5.9,1434013726,56,Left,1397262842,107,,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1787909934,141,1,1,0,39,5rurqie3qt1qav9ir5mkqinn,1,73.5,96,2018-01-30T17:13:57.300Z,2018-01-30T17:13:58Z,1266052498,212,10.2,1623122488,213,3.0,1773415996,141,98.6,1646907114,56,Left,1299980703,140,63.9,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,
1837859180,142,50,1,0,40,5rurqie3qt1qav9ir5mkqinn,1,62.8,97.5,2018-01-30T17:13:58.343Z,2018-01-30T17:13:59Z,1729543470,56,Left,2140468248,233,162,1986468802,286,,,,,,,,,,,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1271428485,162,7,1,0,40,bsbugp9qfasrrtg55bf7evvwv,1,37.2,2.5,2018-01-30T17:13:58.353Z,2018-01-30T17:13:59Z,1827431399,56,Back,1730166643,233,142,1418981828,167,,1424849323,285,,,,,,,,,,,,,,7grp6mb5milt6wp91mdoti7rp,L. Bruton,,,,,,,,,,,,,,,,,,,,,,
2061778256,143,5,1,0,41,5rurqie3qt1qav9ir5mkqinn,1,66.7,101.2,2018-01-30T17:13:58.953Z,2018-01-30T17:21:51Z,1211439978,233,163,1175960420,56,Left,,,,,,,,,,,,,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1467822106,163,5,1,0,41,bsbugp9qfasrrtg55bf7evvwv,0,33.3,-1.2,2018-01-30T17:13:58.953Z,2018-01-30T17:14:05Z,1473913862,56,Back,2095281675,233,143,,,,,,,,,,,,,,,,,,,7grp6mb5milt6wp91mdoti7rp,L. Bruton,,,,,,,,,,,,,,,,,,,,,,
1316972987,5,43,1,0,56,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-01-28T14:03:30.213Z,2018-01-30T16:56:44Z,1345753593,144,1,653468921,140,43.5,2112636457,141,0.0,1836038166,56,Left,1519241996,212,0,124773832,213,1.6,355965026,107,0,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1182368521,144,1,1,1,0,5rurqie3qt1qav9ir5mkqinn,0,64.1,100,2018-01-30T17:14:17.860Z,2018-01-30T17:30:18Z,1281027036,141,94.2,1547086548,212,12.7,1463606030,140,75.2,1592797359,56,Left,2040263146,107,,1968688876,213,5.9,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1190580671,164,1,1,1,3,bsbugp9qfasrrtg55bf7evvwv,1,26.1,10,2018-01-30T17:14:21.650Z,2018-01-30T17:14:22Z,1593936812,140,33.5,1630708889,3,,1407191671,212,7.8,1959516998,56,Back,1103585930,213,6.2,1518738938,141,8.9,,,,,,,ce4cgftejsd46a0rahih0divp,R. Rowe,,,,,,,,,,,,,,,,,,,,,,
2012235694,165,49,1,1,4,bsbugp9qfasrrtg55bf7evvwv,1,33.5,8.9,2018-01-30T17:14:21.969Z,2018-01-30T17:14:22Z,,,,,,,,,,,,,,,,,,,,,,,,,8lhwl2mbtvfxbd8gmp33twq1h,F. Williams,,,,,,,,,,,,,,,,,,,,,,
1123095135,166,1,1,1,4,bsbugp9qfasrrtg55bf7evvwv,0,33.5,8.9,2018-01-30T17:14:22.257Z,2018-01-30T17:14:22Z,2061845054,213,6.0,1334089208,212,15.9,1959257727,140,48.2,2069268808,56,Back,1079627975,155,,1624758951,141,3.5,,,,,,,8lhwl2mbtvfxbd8gmp33twq1h,F. Williams,,,,,,,,,,,,,,,,,,,,,,
1452939176,145,1,1,1,7,5rurqie3qt1qav9ir5mkqinn,1,55.3,95.9,2018-01-30T17:14:25.475Z,2018-01-30T17:14:26Z,1778088407,140,29.0,1800539696,212,28.6,1358138593,213,3.4,1117137543,141,84.8,1735730822,155,,1763175461,56,Back,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,
2061622207,146,1,1,1,9,5rurqie3qt1qav9ir5mkqinn,0,29,84.8,2018-01-30T17:14:26.819Z,2018-01-30T17:14:28Z,1648964672,140,42.6,1519983717,56,Back,1955842732,141,93.9,1788224616,212,15.6,2091270326,3,,1169254918,213,0.4,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,
1703827835,167,1,1,1,9,bsbugp9qfasrrtg55bf7evvwv,1,58,11,2018-01-30T17:14:27.257Z,2018-01-30T17:14:33Z,1578015743,56,Right,1268470027,213,6.2,1736847992,212,35.5,1445460274,1,,1194321487,140,91.6,1931220934,141,5.5,,,,,,,87ann5tlunyp4nzahpl5wqoyd,R. Furness,,,,,,,,,,,,,,,,,,,,,,
1126111613,168,1,1,1,16,bsbugp9qfasrrtg55bf7evvwv,0,95.2,11.7,2018-01-30T17:14:33.744Z,2018-01-30T17:14:37Z,1106462063,212,10.1,1538720746,286,,1490614468,233,147,1198322948,140,94.1,1291932504,213,1.7,1391974165,236,,2130832247,141,26.4,1473964792,2,,b4q51nzxmgax7on17s1wpx5ud,N. Harding,1258974128,56,Center,1367219505,155,,,,,,,,,,,,,,,,,
1954980390,147,12,1,1,16,5rurqie3qt1qav9ir5mkqinn,1,1.8,75.9,2018-01-30T17:14:33.844Z,2018-01-30T17:14:37Z,2114093200,233,168,1336265805,167,,1984578849,212,0,2045457495,56,Back,1994730898,140,1.8,1515343464,185,,1674389739,141,75.9,1446498545,213,4.7,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,
1631076224,148,6,1,1,18,5rurqie3qt1qav9ir5mkqinn,0,3.9,74.7,2018-01-30T17:14:36.376Z,2018-01-30T17:21:48Z,1672363780,73,,1394366931,233,169,2068270108,56,Back,,,,,,,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,
1283114423,169,6,1,1,18,bsbugp9qfasrrtg55bf7evvwv,1,96.1,25.3,2018-01-30T17:14:36.376Z,2018-01-30T17:14:39Z,1670354395,233,148,1396235708,56,Center,1265019865,75,,,,,,,,,,,,,,,,,b4q51nzxmgax7on17s1wpx5ud,N. Harding,,,,,,,,,,,,,,,,,,,,,,
209683139,3,43,1,1,21,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2018-01-28T14:03:55.300Z,2018-01-30T16:56:43Z,1850230876,73,0,451894176,144,6,1656407559,56,Back,493249087,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649838534,6,43,1,1,21,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-01-28T14:03:55.300Z,2018-01-30T16:56:43Z,2139807624,56,Back,1847144617,144,6,1261150726,73,0,,,,,,,,,,,,,,,,egt40316gg12vn8a4mbax3kr9,Louise Quinn,,,,,,,,,,,,,,,,,,,,,,
129497912,4,43,1,1,43,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2018-01-28T14:04:16.814Z,2018-01-30T16:56:42Z,288780644,144,1,1458506457,2,0,1939072210,141,49.6,2061497722,6,0,1836871185,213,1.9,2094572698,212,35.9,953709785,155,0,1200203894,1,0,8lhwl2mbtvfxbd8gmp33twq1h,F. Williams,1030813400,56,Center,1934446402,140,11.6,,,,,,,,,,,,,,,,
1085563456,170,1,1,1,43,bsbugp9qfasrrtg55bf7evvwv,1,99.5,0.5,2018-01-30T17:15:01.500Z,2018-01-30T17:15:05Z,1158884775,213,1.9,1367783384,1,,2118916763,224,,1826476378,212,47.1,1100548243,140,84.5,2000376171,155,,1301737645,56,Center,1568432543,6,,8lhwl2mbtvfxbd8gmp33twq1h,F. Williams,1248932840,141,65.7,1336476883,2,,,,,,,,,,,,,,,,,
2043709257,171,1,1,1,47,bsbugp9qfasrrtg55bf7evvwv,0,84.2,60.8,2018-01-30T17:15:05.664Z,2018-01-30T17:15:06Z,1792832442,140,94.4,1517027360,141,49.0,1530033849,3,,2127458690,56,Center,1982853387,213,5.6,1908659449,212,13.4,,,,,,,87ann5tlunyp4nzahpl5wqoyd,R. Furness,,,,,,,,,,,,,,,,,,,,,,
2122909112,149,1,1,1,50,5rurqie3qt1qav9ir5mkqinn,1,7.2,46.3,2018-01-30T17:15:07.868Z,2018-01-30T17:15:19Z,1754212997,56,Back,2132876986,213,4.9,1766469965,141,37.9,1763598245,3,,1748988174,212,5.8,1092053459,140,8.0,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,
1718487491,150,49,1,1,52,5rurqie3qt1qav9ir5mkqinn,1,8,37.9,2018-01-30T17:15:10.280Z,2018-01-30T17:15:10Z,,,,,,,,,,,,,,,,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,
