id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2688799209,7,1,1,0,20,5rurqie3qt1qav9ir5mkqinn,1,62,8.8,2024-05-18T14:00:52.231Z,2024-05-18T14:00:52Z,5037515977,213,3.09,5037515967,140,41.6,5037515975,212,21.4,5037515963,56,Back,5037515971,141,10.3,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799233,8,1,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,41.6,10.3,2024-05-18T14:00:52.885Z,2024-05-18T14:00:54Z,5037516091,213,1.97,5037516087,141,29.1,5037516083,56,Back,5037516085,140,36.5,5037516089,212,13.9,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799277,9,1,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,36.5,29.1,2024-05-18T14:00:53.580Z,2024-05-18T14:00:56Z,5037516311,212,20.1,5037516307,140,30.8,5037516305,56,Back,5037516309,141,57.3,5037516313,213,1.87,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799289,10,1,1,0,24,5rurqie3qt1qav9ir5mkqinn,1,33.9,58.7,2024-05-18T14:00:56.412Z,2024-05-18T14:00:57Z,5037516371,140,46.6,5037516369,56,Back,5037516373,141,60.3,5037516377,213,0.08,5037516375,212,13.4,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799323,11,1,1,0,25,5rurqie3qt1qav9ir5mkqinn,1,48.1,61.1,2024-05-18T14:00:57.364Z,2024-05-18T14:00:59Z,5037516521,56,Back,5037516529,213,2.80,5037516525,141,66.6,5037516523,140,38.0,5037516527,212,11.2,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799367,12,1,1,0,27,5rurqie3qt1qav9ir5mkqinn,1,38.6,68.4,2024-05-18T14:00:59.604Z,2024-05-18T14:01:03Z,5037516699,56,Back,5037516701,140,46.5,5037516705,212,19.2,5037516707,213,1.12,5037516703,141,93.9,,,,,,,,,,30z4o4w3iw0frztn9isqwx2ei,K. Cooney-Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799447,13,1,1,0,31,5rurqie3qt1qav9ir5mkqinn,1,50.5,92,2024-05-18T14:01:02.996Z,2024-05-18T14:01:10Z,5037517071,141,89.6,5037517069,140,79.3,5037517065,155,,5037517067,56,Left,5037517073,212,30.3,5037517075,213,6.23,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799457,14,3,1,0,38,5rurqie3qt1qav9ir5mkqinn,0,90,86.3,2024-05-18T14:01:10.341Z,2024-05-18T14:01:23Z,5037517131,286,,5037517831,233,5,5037517129,56,Left,,,,,,,,,,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799613,5,7,1,0,38,dcdnoyf6kzhj46iyfm7xq43fy,1,10,13.7,2024-05-18T14:01:10.342Z,2024-05-18T14:01:22Z,5037517769,56,Back,5037517771,285,,5037517767,167,,5037517777,233,14,,,,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799783,6,4,1,0,42,dcdnoyf6kzhj46iyfm7xq43fy,1,14.9,5.9,2024-05-18T14:01:14.612Z,2024-05-18T14:02:59Z,5037518551,285,,5037518547,56,Back,5037518543,13,,5037518545,295,,5037518549,152,,5037525659,233,16,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799563,16,4,1,0,42,5rurqie3qt1qav9ir5mkqinn,0,85.1,94.1,2024-05-18T14:01:14.613Z,2024-05-18T14:02:59Z,5037518749,152,,5037525689,233,6,5037517585,56,Left,5037518745,13,,5037518747,295,,5037518751,286,,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799557,15,43,1,0,43,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-05-18T14:01:15.641Z,2024-05-18T14:01:37Z,5037517573,56,Left,5037518861,144,5,5037517575,347,0,,,,,,,,,,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800015,7,1,1,1,10,dcdnoyf6kzhj46iyfm7xq43fy,1,13.9,5.9,2024-05-18T14:01:42.675Z,2024-05-18T14:01:47Z,5037519519,141,9.4,5037519523,213,0.08,5037519515,56,Back,5037519525,1,,5037519509,5,,5037519517,140,43.7,5037519513,152,,5037519521,212,31.4,dld1dfaxrkcje24pmw72odzpw,J. Carabalí,5037519511,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800061,8,1,1,1,15,dcdnoyf6kzhj46iyfm7xq43fy,1,43.6,9.2,2024-05-18T14:01:46.914Z,2024-05-18T14:01:50Z,5037519721,141,10.6,5037519719,140,26.6,5037519717,56,Back,5037519725,213,3.09,5037519723,212,17.9,,,,,,,,,,5zscs0qkg39k01a2n0qu9tvkk,M. Haley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800083,9,1,1,1,18,dcdnoyf6kzhj46iyfm7xq43fy,0,27.6,11,2024-05-18T14:01:50.498Z,2024-05-18T14:01:52Z,5037519821,56,Back,5037519829,213,0.79,5037519825,141,41.6,5037519827,212,29.4,5037519823,140,47.4,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800121,17,49,1,1,22,5rurqie3qt1qav9ir5mkqinn,1,42.6,28.3,2024-05-18T14:01:53.982Z,2024-05-18T14:01:54Z,,,,,,,,,,,,,,,,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800291,18,1,1,1,25,5rurqie3qt1qav9ir5mkqinn,1,40.8,26.7,2024-05-18T14:01:56.869Z,2024-05-18T14:02:05Z,5037520799,212,30.0,5037520801,213,2.96,5037520793,56,Back,5037520797,141,34.5,5037520795,140,12.7,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800369,19,1,1,1,33,5rurqie3qt1qav9ir5mkqinn,1,14.9,46.1,2024-05-18T14:02:04.917Z,2024-05-18T14:02:09Z,5037521161,212,46.6,5037521159,141,94.2,5037521155,56,Back,5037521165,1,,5037521153,155,,5037521157,140,46.5,5037521163,213,0.78,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800423,20,1,1,1,37,5rurqie3qt1qav9ir5mkqinn,1,50.7,95.4,2024-05-18T14:02:09.197Z,2024-05-18T14:02:12Z,5037521421,213,5.78,5037521419,212,32.6,5037521417,141,72.1,5037521413,56,Center,5037521423,1,,5037521415,140,77.8,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800433,21,61,1,1,40,5rurqie3qt1qav9ir5mkqinn,0,77.8,72.1,2024-05-18T14:02:11.870Z,2024-05-18T14:02:12Z,5037521461,56,Center,,,,,,,,,,,,,,,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800505,10,49,1,1,43,dcdnoyf6kzhj46iyfm7xq43fy,1,5.6,19.4,2024-05-18T14:02:15.164Z,2024-05-18T14:02:15Z,,,,,,,,,,,,,,,,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800537,11,1,1,1,43,dcdnoyf6kzhj46iyfm7xq43fy,1,5.6,19.4,2024-05-18T14:02:15.491Z,2024-05-18T14:02:17Z,5037521933,56,Back,5037521937,141,4.6,5037521935,140,11.4,5037521941,213,5.26,5037521939,212,11.8,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800651,12,1,1,1,48,dcdnoyf6kzhj46iyfm7xq43fy,1,10.5,5.2,2024-05-18T14:02:20.283Z,2024-05-18T14:02:23Z,5037522395,213,2.69,5037522393,212,8.1,5037522387,56,Back,5037522389,140,3.6,5037522391,141,10.4,,,,,,,,,,dld1dfaxrkcje24pmw72odzpw,J. Carabalí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800665,13,1,1,1,51,dcdnoyf6kzhj46iyfm7xq43fy,0,3.6,10.4,2024-05-18T14:02:22.963Z,2024-05-18T14:02:23Z,5037522435,213,6.17,5037522437,1,,5037522433,212,34.4,5037522425,157,,5037522431,141,4.7,5037522427,56,Back,5037522429,140,36.2,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800689,22,43,1,1,53,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-05-18T14:02:24.918Z,2024-05-18T14:02:27Z,5037522525,56,Back,5037522691,144,8,,,,,,,,,,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800693,23,61,1,1,53,5rurqie3qt1qav9ir5mkqinn,0,43.8,88.4,2024-05-18T14:02:24.924Z,2024-05-18T14:02:25Z,5037522539,56,Back,,,,,,,,,,,,,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800775,14,61,1,1,59,dcdnoyf6kzhj46iyfm7xq43fy,0,78,8.6,2024-05-18T14:02:30.948Z,2024-05-18T14:02:31Z,5037522931,56,Right,,,,,,,,,,,,,,,,,,,,,,5ye5h1o9ndhfeqdi8mh4f9une,K. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800789,24,49,1,1,59,5rurqie3qt1qav9ir5mkqinn,1,13.1,84.2,2024-05-18T14:02:31.598Z,2024-05-18T14:02:31Z,,,,,,,,,,,,,,,,,,,,,,,,,6ywketcafnc6x3tncvohzesx5,V. Pelova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800845,25,1,1,2,0,5rurqie3qt1qav9ir5mkqinn,1,10.5,83.2,2024-05-18T14:02:32.318Z,2024-05-18T14:02:34Z,5037523203,56,Back,5037523207,141,57.0,5037523205,140,4.5,5037523209,212,18.9,5037523211,213,4.37,,,,,,,,,,6ywketcafnc6x3tncvohzesx5,V. Pelova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800879,26,1,1,2,2,5rurqie3qt1qav9ir5mkqinn,0,4.5,57,2024-05-18T14:02:34.430Z,2024-05-18T14:02:35Z,5037523361,56,Back,5037523359,157,,5037523369,213,0.27,5037523371,1,,5037523367,212,40.2,5037523363,140,41.4,5037523365,141,72.7,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688800939,15,49,1,2,7,dcdnoyf6kzhj46iyfm7xq43fy,1,61,19.8,2024-05-18T14:02:38.988Z,2024-05-18T14:02:39Z,,,,,,,,,,,,,,,,,,,,,,,,,8iu9bdow1xgzswzl78cbioyxh,J. Zigiotti Olme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801033,16,1,1,2,7,dcdnoyf6kzhj46iyfm7xq43fy,1,61,19.8,2024-05-18T14:02:39.011Z,2024-05-18T14:02:43Z,5037523989,56,Right,5037524001,212,11.2,5037523997,141,11.0,5037523993,140,70.0,5037524007,213,5.72,,,,,,,,,,8iu9bdow1xgzswzl78cbioyxh,J. Zigiotti Olme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801071,17,1,1,2,12,dcdnoyf6kzhj46iyfm7xq43fy,1,63,15.6,2024-05-18T14:02:43.828Z,2024-05-18T14:02:45Z,5037524181,140,36.8,5037524185,212,27.7,5037524187,213,3.26,5037524183,141,10.6,5037524179,56,Back,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801097,18,1,1,2,14,dcdnoyf6kzhj46iyfm7xq43fy,1,39.4,11.7,2024-05-18T14:02:45.851Z,2024-05-18T14:02:47Z,5037524321,141,11.0,5037524319,140,55.4,5037524323,212,16.8,5037524325,213,6.25,5037524317,56,Right,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801163,19,1,1,2,15,dcdnoyf6kzhj46iyfm7xq43fy,1,55.4,11,2024-05-18T14:02:47.036Z,2024-05-18T14:02:49Z,5037524591,213,3.10,5037524587,141,11.9,5037524583,56,Back,5037524585,140,40.6,5037524589,212,15.6,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801215,20,1,1,2,17,dcdnoyf6kzhj46iyfm7xq43fy,1,40.6,11.9,2024-05-18T14:02:49.172Z,2024-05-18T14:02:51Z,5037524829,141,6.7,5037524831,212,5.3,5037524827,140,44.4,5037524825,56,Back,5037524833,213,5.56,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801337,21,1,1,2,19,dcdnoyf6kzhj46iyfm7xq43fy,1,43.9,6.7,2024-05-18T14:02:51.571Z,2024-05-18T14:02:57Z,5037525435,212,10.0,5037525437,213,2.77,5037525433,141,12.0,5037525429,56,Back,5037525431,140,35.0,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801353,22,1,1,2,25,dcdnoyf6kzhj46iyfm7xq43fy,0,36.8,8.8,2024-05-18T14:02:57.156Z,2024-05-18T14:02:58Z,5037525527,212,40.0,5037525523,140,74.4,5037525531,1,,5037525525,141,0.0,5037525521,56,Right,5037525529,213,6.12,5037525519,157,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801357,23,5,1,2,26,dcdnoyf6kzhj46iyfm7xq43fy,0,79.2,-0.8,2024-05-18T14:02:57.750Z,2024-05-18T14:49:13Z,5037527739,233,27,5037525539,56,Right,5037525541,347,,,,,,,,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801779,27,5,1,2,26,5rurqie3qt1qav9ir5mkqinn,1,20.8,100.8,2024-05-18T14:02:57.750Z,2024-05-18T14:03:24Z,5037527529,56,Back,5037527711,233,23,5037527531,347,,,,,,,,,,,,,,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801859,28,1,1,2,50,5rurqie3qt1qav9ir5mkqinn,1,17.5,100,2024-05-18T14:03:22.551Z,2024-05-18T14:03:26Z,5037527901,141,85.0,5037527903,212,16.0,5037527905,213,3.88,5037527899,140,6.2,5037527895,107,,5037527897,56,Back,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801893,29,1,1,2,54,5rurqie3qt1qav9ir5mkqinn,1,3.3,86.5,2024-05-18T14:03:25.887Z,2024-05-18T14:03:27Z,5037528059,213,4.68,5037528051,56,Back,5037528053,140,2.8,5037528057,212,16.5,5037528055,141,62.3,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801927,30,1,1,2,56,5rurqie3qt1qav9ir5mkqinn,0,2.8,62.3,2024-05-18T14:03:27.799Z,2024-05-18T14:03:29Z,5037528211,213,0.97,5037528203,56,Back,5037528207,141,100.0,5037528199,157,,5037528205,140,20.0,5037528213,1,,5037528209,212,32.0,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688802005,24,5,1,2,57,dcdnoyf6kzhj46iyfm7xq43fy,1,78.6,-1.5,2024-05-18T14:03:28.933Z,2024-05-18T14:49:14Z,5037528671,233,31,5037528615,56,Right,5037528617,347,,,,,,,,,,,,,,,,,1yyfd17df158m5eymkechszpx,Lee Geum-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688801931,31,5,1,2,57,5rurqie3qt1qav9ir5mkqinn,0,21.4,101.5,2024-05-18T14:03:28.933Z,2024-05-18T14:03:34Z,5037528705,233,24,5037528255,347,,5037528253,56,Back,,,,,,,,,,,,,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688802045,25,1,1,3,1,dcdnoyf6kzhj46iyfm7xq43fy,1,77.3,0,2024-05-18T14:03:33.564Z,2024-05-18T14:03:35Z,5037528849,213,2.58,5037528841,56,Right,5037528839,107,,5037528843,140,68.7,5037528847,212,10.7,5037528845,141,6.5,,,,,,,dld1dfaxrkcje24pmw72odzpw,J. Carabalí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688802081,26,1,1,3,3,dcdnoyf6kzhj46iyfm7xq43fy,1,68.7,6.5,2024-05-18T14:03:35.572Z,2024-05-18T14:03:37Z,5037528971,141,7.4,5037528969,140,54.5,5037528967,56,Right,5037528973,212,14.9,5037528975,213,3.10,,,,,,,,,,5t9mthxv6kthq6tnntv5q4fdh,Vicky Losada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
